Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,278.75,0.87,12.847999999999999,19.96,4.4435999999999995e-08,9.421999999999999e-08,0.2,5.6,0.24863999999999997
3600,278.95,0.85,13.046,20.92,4.5822e-08,1.0094000000000002e-07,0.0,6.2,0.0
7200,279.04999999999995,0.82,13.178,21.560000000000002,4.6746e-08,1.0542e-07,0.1,6.6,0.14652
10800,279.04999999999995,0.83,12.98,20.6,4.5360000000000004e-08,9.87e-08,0.0,6.0,0.0
14400,279.04999999999995,0.8,12.584,18.68,4.2588e-08,8.526e-08,0.0,4.8,0.0
18000,279.04999999999995,0.81,12.584,18.68,4.2588e-08,8.526e-08,0.0,4.8,0.0
21600,279.15,0.8,12.617,18.84,4.2819e-08,8.638e-08,0.0,4.9,0.0
25200,279.15,0.8,12.98,20.6,4.5360000000000004e-08,9.87e-08,0.0,6.0,0.0
28800,279.15,0.78,13.343,22.36,4.7901e-08,1.1102e-07,0.0,7.1,0.0
32400,279.15,0.78,12.716000000000001,19.32,4.3512e-08,8.974e-08,0.0,5.2,0.0
36000,279.15,0.78,12.914,20.28,4.4897999999999996e-08,9.645999999999999e-08,0.0,5.8,0.0
39600,279.34999999999997,0.77,13.541,23.32,4.9287e-08,1.1774e-07,0.0,7.7,0.0
43200,279.45,0.77,14.234,26.68,5.4138e-08,1.4125999999999998e-07,0.0,9.8,0.0
46800,279.04999999999995,0.84,13.607,23.64,4.9749e-08,1.1998e-07,0.0,7.9,0.0
50400,278.84999999999997,0.87,13.277000000000001,22.04,4.7439e-08,1.0878e-07,0.0,6.9,0.0
54000,279.04999999999995,0.89,13.046,20.92,4.5822e-08,1.0094000000000002e-07,0.0,6.2,0.0
57600,278.95,0.91,13.244,21.880000000000003,4.7207999999999995e-08,1.0766e-07,0.3,6.8,0.45288
61200,278.84999999999997,0.9,13.244,21.880000000000003,4.7207999999999995e-08,1.0766e-07,0.1,6.8,0.15096
64800,279.15,0.89,13.145,21.4,4.6514999999999997e-08,1.043e-07,0.1,6.5,0.1443
68400,279.15,0.9,13.046,20.92,4.5822e-08,1.0094000000000002e-07,0.1,6.2,0.13764
72000,279.34999999999997,0.9,12.947,20.44,4.5129e-08,9.758e-08,0.1,5.9,0.13098
75600,279.65,0.84,13.376000000000001,22.520000000000003,4.8132000000000004e-08,1.1214000000000002e-07,0.0,7.2,0.0
79200,279.45,0.85,13.607,23.64,4.9749e-08,1.1998e-07,0.0,7.9,0.0
82800,279.45,0.82,14.432,27.64,5.5524e-08,1.4798e-07,0.0,10.4,0.0
86400,279.34999999999997,0.81,14.168,26.36,5.3676e-08,1.3901999999999998e-07,0.0,9.6,0.0
90000,279.34999999999997,0.81,14.168,26.36,5.3676e-08,1.3901999999999998e-07,0.0,9.6,0.0
93600,279.45,0.82,14.762,29.240000000000002,5.7834e-08,1.5918e-07,0.0,11.4,0.0
97200,279.15,0.84,14.828,29.56,5.8295999999999995e-08,1.6142e-07,0.0,11.6,0.0
100800,279.54999999999995,0.8,15.092,30.840000000000003,6.0144e-08,1.7038000000000002e-07,0.0,12.4,0.0
104400,279.75,0.78,15.190999999999999,31.32,6.083699999999999e-08,1.7374e-07,0.0,12.7,0.0
108000,279.95,0.77,14.795,29.400000000000002,5.8065e-08,1.603e-07,0.0,11.5,0.0
111600,279.84999999999997,0.79,14.729000000000001,29.080000000000002,5.7603e-08,1.5806e-07,0.0,11.3,0.0
115200,279.95,0.78,14.894,29.880000000000003,5.8758e-08,1.6366000000000002e-07,0.0,11.8,0.0
118800,279.95,0.77,14.663,28.76,5.7141e-08,1.5582e-07,0.0,11.1,0.0
122400,279.95,0.78,14.927,30.040000000000003,5.898899999999999e-08,1.6478000000000002e-07,0.0,11.9,0.0
126000,280.04999999999995,0.79,14.762,29.240000000000002,5.7834e-08,1.5918e-07,0.0,11.4,0.0
129600,280.04999999999995,0.79,14.399000000000001,27.48,5.5293000000000004e-08,1.4686e-07,0.0,10.3,0.0
133200,280.15,0.79,14.795,29.400000000000002,5.8065e-08,1.603e-07,0.0,11.5,0.0
136800,279.84999999999997,0.83,14.597000000000001,28.44,5.667900000000001e-08,1.5358e-07,0.0,10.9,0.0
140400,279.75,0.83,14.498000000000001,27.96,5.5986e-08,1.5022e-07,0.0,10.6,0.0
144000,279.34999999999997,0.89,14.96,30.200000000000003,5.9220000000000004e-08,1.6590000000000002e-07,0.6,12.0,1.5983999999999998
147600,279.45,0.91,14.234,26.68,5.4138e-08,1.4125999999999998e-07,1.1,9.8,2.3931600000000004
151200,279.45,0.89,14.003,25.560000000000002,5.2521e-08,1.3342e-07,4.6,9.1,9.292919999999999
154800,279.65,0.89,14.135,26.200000000000003,5.3445e-08,1.379e-07,4.6,9.5,9.7014
158400,279.84999999999997,0.91,13.97,25.4,5.229e-08,1.323e-07,2.0,9.0,3.996
162000,279.95,0.91,13.871,24.92,5.1597e-08,1.2894000000000002e-07,0.9,8.7,1.73826
165600,280.25,0.92,13.871,24.92,5.1597e-08,1.2894000000000002e-07,1.7,8.7,3.2833799999999997
169200,280.54999999999995,0.9,14.003,25.560000000000002,5.2521e-08,1.3342e-07,0.2,9.1,0.40404
172800,280.65,0.91,13.706,24.119999999999997,5.0441999999999996e-08,1.2334e-07,1.4,8.2,2.5485599999999997
176400,277.84999999999997,0.87,13.475,23.0,4.8824999999999995e-08,1.155e-07,5.2,7.5,8.658
180000,277.65,0.79,13.178,21.560000000000002,4.6746e-08,1.0542e-07,0.3,6.6,0.43955999999999995
183600,278.34999999999997,0.66,13.442,22.840000000000003,4.8594e-08,1.1438000000000002e-07,0.8,7.4,1.3142400000000003
187200,277.15,0.78,13.244,21.880000000000003,4.7207999999999995e-08,1.0766e-07,1.0,6.8,1.5096
190800,276.95,0.68,13.574,23.48,4.9518e-08,1.1886e-07,0.0,7.8,0.0
194400,276.04999999999995,0.77,13.805,24.6,5.1134999999999994e-08,1.2670000000000002e-07,1.0,8.5,1.887
198000,276.04999999999995,0.73,13.706,24.119999999999997,5.0441999999999996e-08,1.2334e-07,0.0,8.2,0.0
201600,276.54999999999995,0.72,13.409,22.68,4.8363e-08,1.1326e-07,0.0,7.3,0.0
205200,276.65,0.61,13.31,22.200000000000003,4.767e-08,1.099e-07,0.0,7.0,0.0
208800,276.15,0.7,12.749,19.48,4.3743000000000003e-08,9.086e-08,0.2,5.3,0.23532
212400,276.75,0.59,12.485,18.2,4.1895e-08,8.19e-08,0.0,4.5,0.0
216000,276.25,0.72,12.914,20.28,4.4897999999999996e-08,9.645999999999999e-08,0.0,5.8,0.0
219600,274.34999999999997,0.85,13.112,21.240000000000002,4.6284e-08,1.0318000000000001e-07,1.2,6.4,1.70496
223200,276.15,0.79,13.244,21.880000000000003,4.7207999999999995e-08,1.0766e-07,0.2,6.8,0.30192
226800,275.84999999999997,0.72,14.795,29.400000000000002,5.8065e-08,1.603e-07,0.3,11.5,0.7658999999999999
230400,276.34999999999997,0.65,15.224,31.480000000000004,6.1068e-08,1.7486000000000002e-07,0.0,12.8,0.0
234000,274.95,0.76,15.620000000000001,33.400000000000006,6.384000000000001e-08,1.883e-07,0.3,14.0,0.9324
237600,274.34999999999997,0.82,15.620000000000001,33.400000000000006,6.384000000000001e-08,1.883e-07,0.3,14.0,0.9324
241200,274.04999999999995,0.74,15.818000000000001,34.36,6.5226e-08,1.9501999999999998e-07,0.4,14.6,1.29648
244800,273.95,0.72,14.795,29.400000000000002,5.8065e-08,1.603e-07,0.2,11.5,0.5106
248400,274.84999999999997,0.57,13.937000000000001,25.240000000000002,5.2059e-08,1.3118000000000001e-07,0.0,8.9,0.0
252000,275.15,0.51,13.739,24.28,5.0673000000000006e-08,1.2446000000000002e-07,0.0,8.3,0.0
255600,273.95,0.77,13.64,23.8,4.998e-08,1.211e-07,0.0,8.0,0.0
259200,274.34999999999997,0.74,13.706,24.119999999999997,5.0441999999999996e-08,1.2334e-07,0.2,8.2,0.36407999999999996
262800,273.75,0.86,13.409,22.68,4.8363e-08,1.1326e-07,0.9,7.3,1.4585400000000002
266400,274.75,0.77,13.31,22.200000000000003,4.767e-08,1.099e-07,0.2,7.0,0.3108
270000,274.34999999999997,0.87,13.574,23.48,4.9518e-08,1.1886e-07,0.9,7.8,1.5584399999999998
273600,274.54999999999995,0.84,14.729000000000001,29.080000000000002,5.7603e-08,1.5806e-07,0.3,11.3,0.75258
277200,274.34999999999997,0.87,14.729000000000001,29.080000000000002,5.7603e-08,1.5806e-07,0.5,11.3,1.2543000000000002
280800,274.04999999999995,0.82,13.244,21.880000000000003,4.7207999999999995e-08,1.0766e-07,0.0,6.8,0.0
284400,273.75,0.8,14.828,29.56,5.8295999999999995e-08,1.6142e-07,0.3,11.6,0.77256
288000,274.04999999999995,0.79,13.871,24.92,5.1597e-08,1.2894000000000002e-07,0.1,8.7,0.19314
291600,273.34999999999997,0.81,14.762,29.240000000000002,5.7834e-08,1.5918e-07,0.1,11.4,0.25308
295200,274.45,0.74,12.914,20.28,4.4897999999999996e-08,9.645999999999999e-08,0.0,5.8,0.0
298800,275.34999999999997,0.69,13.244,21.880000000000003,4.7207999999999995e-08,1.0766e-07,0.0,6.8,0.0
302400,275.15,0.76,13.145,21.4,4.6514999999999997e-08,1.043e-07,0.0,6.5,0.0
306000,275.04999999999995,0.7,12.782,19.64,4.3974e-08,9.198000000000001e-08,0.0,5.4,0.0
309600,274.04999999999995,0.79,12.32,17.4,4.074e-08,7.63e-08,0.3,4.0,0.26639999999999997
313200,274.15,0.83,11.957,15.64,3.8199e-08,6.398000000000001e-08,0.0,2.9,0.0
316800,274.34999999999997,0.83,11.924,15.48,3.796799999999999e-08,6.286e-08,0.1,2.8,0.06215999999999999
320400,274.34999999999997,0.83,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
324000,274.04999999999995,0.84,11.957,15.64,3.8199e-08,6.398000000000001e-08,0.0,2.9,0.0
327600,274.15,0.83,11.858,15.16,3.7506000000000005e-08,6.062e-08,0.0,2.6,0.0
331200,274.25,0.81,11.924,15.48,3.796799999999999e-08,6.286e-08,0.0,2.8,0.0
334800,274.25,0.8,12.221,16.92,4.0047e-08,7.294000000000002e-08,0.0,3.7,0.0
338400,274.65,0.77,12.419,17.88,4.1433000000000004e-08,7.965999999999999e-08,0.0,4.3,0.0
342000,275.04999999999995,0.74,12.518,18.36,4.2125999999999996e-08,8.302e-08,0.0,4.6,0.0
345600,275.25,0.7,12.716000000000001,19.32,4.3512e-08,8.974e-08,0.0,5.2,0.0
349200,275.45,0.71,12.782,19.64,4.3974e-08,9.198000000000001e-08,0.0,5.4,0.0
352800,275.04999999999995,0.75,12.683,19.16,4.3280999999999996e-08,8.862e-08,0.0,5.1,0.0
356400,274.34999999999997,0.85,13.706,24.119999999999997,5.0441999999999996e-08,1.2334e-07,0.1,8.2,0.18203999999999998
360000,273.84999999999997,0.89,13.805,24.6,5.1134999999999994e-08,1.2670000000000002e-07,1.0,8.5,1.887
363600,273.75,0.9,13.838000000000001,24.759999999999998,5.1366e-08,1.2782e-07,1.2,8.6,2.2910399999999997
367200,274.45,0.9,13.607,23.64,4.9749e-08,1.1998e-07,1.1,7.9,1.9291800000000003
370800,275.54999999999995,0.88,13.607,23.64,4.9749e-08,1.1998e-07,1.1,7.9,1.9291800000000003
374400,276.65,0.87,14.168,26.36,5.3676e-08,1.3901999999999998e-07,2.3,9.6,4.9017599999999995
378000,276.95,0.9,14.069,25.880000000000003,5.2983000000000005e-08,1.3566e-07,2.7,9.3,5.574420000000001
381600,277.34999999999997,0.91,13.541,23.32,4.9287e-08,1.1774e-07,3.6,7.7,6.153840000000001
385200,277.95,0.93,13.409,22.68,4.8363e-08,1.1326e-07,4.2,7.3,6.80652
388800,279.04999999999995,0.94,13.277000000000001,22.04,4.7439e-08,1.0878e-07,7.4,6.9,11.335320000000001
