Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,272.95,0.98,12.155000000000001,16.6,3.9585e-08,7.07e-08,0,3.5,0.0
3600,272.54999999999995,0.98,12.419,17.88,4.1433000000000004e-08,7.965999999999999e-08,0,4.3,0.0
7200,272.15,0.98,12.221,16.92,4.0047e-08,7.294000000000002e-08,0,3.7,0.0
10800,271.34999999999997,0.98,11.858,15.16,3.7506000000000005e-08,6.062e-08,0,2.6,0.0
14400,271.54999999999995,0.98,12.254,17.08,4.0278e-08,7.406e-08,0,3.8,0.0
18000,271.65,0.98,12.914,20.28,4.4897999999999996e-08,9.645999999999999e-08,0,5.8,0.0
21600,272.34999999999997,0.97,12.286999999999999,17.240000000000002,4.0508999999999996e-08,7.518e-08,0,3.9,0.0
25200,271.25,0.99,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
28800,271.54999999999995,0.97,12.056000000000001,16.12,3.8892e-08,6.734e-08,0,3.2,0.0
32400,272.15,0.97,12.122,16.44,3.9353999999999996e-08,6.958e-08,0,3.4,0.0
36000,272.95,0.96,12.122,16.44,3.9353999999999996e-08,6.958e-08,0,3.4,0.0
39600,273.54999999999995,0.92,12.584,18.68,4.2588e-08,8.526e-08,0,4.8,0.0
43200,274.25,0.88,12.65,19.0,4.305e-08,8.75e-08,0,5,0.0
46800,274.34999999999997,0.87,12.353,17.56,4.0971e-08,7.741999999999999e-08,0,4.1,0.0
50400,274.04999999999995,0.89,12.716000000000001,19.32,4.3512e-08,8.974e-08,0,5.2,0.0
54000,273.75,0.93,12.881,20.12,4.4667e-08,9.534e-08,0,5.7,0.0
57600,273.84999999999997,0.96,12.98,20.6,4.5360000000000004e-08,9.87e-08,0,6,0.0
61200,273.84999999999997,0.97,12.815000000000001,19.8,4.4205000000000004e-08,9.31e-08,0.6,5.5,0.7325999999999999
64800,274.25,0.97,12.452,18.04,4.1664e-08,8.078e-08,1.3,4.4,1.26984
68400,275.15,0.96,13.442,22.840000000000003,4.8594e-08,1.1438000000000002e-07,2.5,7.4,4.107
72000,274.34999999999997,0.97,12.155000000000001,16.6,3.9585e-08,7.07e-08,0.9,3.5,0.6993
75600,274.54999999999995,0.96,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0.1,2.2,0.04884000000000001
79200,274.45,0.97,11.759,14.68,3.6813e-08,5.726e-08,0,2.3,0.0
82800,274.34999999999997,0.97,11.462,13.24,3.4734e-08,4.718e-08,0.2,1.4,0.06215999999999999
86400,273.95,0.97,11.363,12.76,3.4041e-08,4.382e-08,0,1.1,0.0
90000,273.65,0.98,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
93600,273.34999999999997,0.98,11.363,12.76,3.4041e-08,4.382e-08,0,1.1,0.0
97200,273.65,0.98,11.33,12.6,3.3809999999999996e-08,4.27e-08,0,1,0.0
100800,273.25,0.98,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0,1.8,0.0
104400,273.25,0.98,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
108000,273.34999999999997,0.98,11.66,14.2,3.612e-08,5.39e-08,0,2,0.0
111600,273.34999999999997,0.97,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0,2.2,0.0
115200,273.65,0.98,11.396,12.92,3.4272e-08,4.494e-08,0,1.2,0.0
118800,274.25,0.98,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0,1.8,0.0
122400,274.54999999999995,0.98,11.429,13.08,3.4503e-08,4.606e-08,0,1.3,0.0
126000,275.34999999999997,0.97,11.297,12.440000000000001,3.3579e-08,4.158e-08,0,0.9,0.0
129600,275.25,0.97,11.462,13.24,3.4734e-08,4.718e-08,0,1.4,0.0
133200,275.15,0.99,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
136800,275.15,0.98,11.626999999999999,14.04,3.5889e-08,5.278e-08,0,1.9,0.0
140400,274.45,0.98,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
144000,274.04999999999995,0.98,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
147600,272.84999999999997,0.97,11.528,13.56,3.5196e-08,4.942e-08,0,1.6,0.0
151200,273.25,0.98,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0,1.8,0.0
154800,273.15,0.97,11.396,12.92,3.4272e-08,4.494e-08,0,1.2,0.0
158400,273.45,0.97,11.396,12.92,3.4272e-08,4.494e-08,0,1.2,0.0
162000,273.25,0.98,11.396,12.92,3.4272e-08,4.494e-08,0,1.2,0.0
165600,274.65,0.97,11.429,13.08,3.4503e-08,4.606e-08,0,1.3,0.0
169200,274.25,0.97,11.825,15.0,3.7275e-08,5.95e-08,0,2.5,0.0
172800,275.95,0.97,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0.1,2.2,0.04884000000000001
176400,276.54999999999995,0.98,11.759,14.68,3.6813e-08,5.726e-08,0.1,2.3,0.051059999999999994
180000,277.04999999999995,0.97,11.825,15.0,3.7275e-08,5.95e-08,0,2.5,0.0
183600,277.65,0.97,12.518,18.36,4.2125999999999996e-08,8.302e-08,0.1,4.6,0.10211999999999999
187200,277.84999999999997,0.97,12.683,19.16,4.3280999999999996e-08,8.862e-08,0.2,5.1,0.22644
190800,278.34999999999997,0.97,12.683,19.16,4.3280999999999996e-08,8.862e-08,0.1,5.1,0.11322
194400,277.84999999999997,0.96,12.98,20.6,4.5360000000000004e-08,9.87e-08,0,6,0.0
198000,278.34999999999997,0.96,13.145,21.4,4.6514999999999997e-08,1.043e-07,0.9,6.5,1.2987000000000002
201600,278.84999999999997,0.92,13.277000000000001,22.04,4.7439e-08,1.0878e-07,0,6.9,0.0
205200,279.15,0.89,13.706,24.119999999999997,5.0441999999999996e-08,1.2334e-07,0,8.2,0.0
208800,279.45,0.88,13.97,25.4,5.229e-08,1.323e-07,0.1,9,0.1998
212400,279.25,0.88,14.069,25.880000000000003,5.2983000000000005e-08,1.3566e-07,0.4,9.3,0.8258400000000001
216000,279.34999999999997,0.88,14.267,26.840000000000003,5.4369e-08,1.4238e-07,0,9.9,0.0
219600,278.84999999999997,0.88,14.168,26.36,5.3676e-08,1.3901999999999998e-07,0.1,9.6,0.21312
223200,278.95,0.85,14.003,25.560000000000002,5.2521e-08,1.3342e-07,1.4,9.1,2.82828
226800,277.75,0.89,13.706,24.119999999999997,5.0441999999999996e-08,1.2334e-07,0.2,8.2,0.36407999999999996
230400,277.45,0.86,12.914,20.28,4.4897999999999996e-08,9.645999999999999e-08,0,5.8,0.0
234000,277.15,0.74,13.013,20.759999999999998,4.5591e-08,9.981999999999999e-08,0,6.1,0.0
237600,275.54999999999995,0.8,13.079,21.08,4.6053e-08,1.0206e-07,0,6.3,0.0
241200,274.84999999999997,0.76,12.716000000000001,19.32,4.3512e-08,8.974e-08,0,5.2,0.0
244800,273.84999999999997,0.77,12.847999999999999,19.96,4.4435999999999995e-08,9.421999999999999e-08,0,5.6,0.0
248400,272.45,0.81,12.452,18.04,4.1664e-08,8.078e-08,0,4.4,0.0
252000,272.25,0.82,12.188,16.76,3.9816000000000004e-08,7.182e-08,0,3.6,0.0
255600,272.65,0.82,12.65,19.0,4.305e-08,8.75e-08,0,5,0.0
259200,272.84999999999997,0.82,12.353,17.56,4.0971e-08,7.741999999999999e-08,0,4.1,0.0
262800,273.04999999999995,0.81,12.353,17.56,4.0971e-08,7.741999999999999e-08,0,4.1,0.0
266400,274.15,0.81,13.145,21.4,4.6514999999999997e-08,1.043e-07,0,6.5,0.0
270000,273.65,0.83,13.211,21.72,4.6977e-08,1.0654e-07,0,6.7,0.0
273600,274.04999999999995,0.86,13.277000000000001,22.04,4.7439e-08,1.0878e-07,0.5,6.9,0.7659
277200,274.25,0.84,13.376000000000001,22.520000000000003,4.8132000000000004e-08,1.1214000000000002e-07,0.1,7.2,0.15984
280800,273.95,0.88,13.607,23.64,4.9749e-08,1.1998e-07,1,7.9,1.7538
284400,273.34999999999997,0.9,12.617,18.84,4.2819e-08,8.638e-08,0,4.9,0.0
288000,273.75,0.87,12.386,17.72,4.1202e-08,7.854e-08,0,4.2,0.0
291600,273.04999999999995,0.91,12.188,16.76,3.9816000000000004e-08,7.182e-08,0.1,3.6,0.07992
295200,273.84999999999997,0.88,12.122,16.44,3.9353999999999996e-08,6.958e-08,0,3.4,0.0
298800,273.25,0.89,11.825,15.0,3.7275e-08,5.95e-08,0,2.5,0.0
302400,274.34999999999997,0.84,12.386,17.72,4.1202e-08,7.854e-08,0,4.2,0.0
306000,274.95,0.82,12.254,17.08,4.0278e-08,7.406e-08,0,3.8,0.0
309600,273.25,0.89,12.386,17.72,4.1202e-08,7.854e-08,0,4.2,0.0
313200,273.04999999999995,0.91,11.693,14.36,3.6351e-08,5.502e-08,0,2.1,0.0
316800,270.54999999999995,0.95,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0,1.8,0.0
320400,270.34999999999997,0.95,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0,2.2,0.0
324000,272.04999999999995,0.94,12.023,15.96,3.8661e-08,6.622000000000001e-08,0,3.1,0.0
327600,272.25,0.93,12.32,17.4,4.074e-08,7.63e-08,0,4,0.0
331200,270.15,0.96,11.825,15.0,3.7275e-08,5.95e-08,0,2.5,0.0
334800,269.54999999999995,0.96,11.825,15.0,3.7275e-08,5.95e-08,0,2.5,0.0
338400,268.84999999999997,0.96,12.286999999999999,17.240000000000002,4.0508999999999996e-08,7.518e-08,0,3.9,0.0
342000,269.15,0.96,12.353,17.56,4.0971e-08,7.741999999999999e-08,0,4.1,0.0
345600,270.04999999999995,0.97,12.353,17.56,4.0971e-08,7.741999999999999e-08,0.1,4.1,0.09101999999999999
349200,269.25,0.97,12.056000000000001,16.12,3.8892e-08,6.734e-08,0,3.2,0.0
352800,269.65,0.96,11.957,15.64,3.8199e-08,6.398000000000001e-08,0,2.9,0.0
356400,270.84999999999997,0.96,11.924,15.48,3.796799999999999e-08,6.286e-08,0,2.8,0.0
360000,271.04999999999995,0.96,11.858,15.16,3.7506000000000005e-08,6.062e-08,0,2.6,0.0
363600,270.65,0.96,11.891,15.32,3.7737e-08,6.174e-08,0,2.7,0.0
367200,270.04999999999995,0.97,11.363,12.76,3.4041e-08,4.382e-08,0,1.1,0.0
370800,269.54999999999995,0.94,11.429,13.08,3.4503e-08,4.606e-08,0,1.3,0.0
374400,269.04999999999995,0.96,11.264,12.280000000000001,3.3348e-08,4.046e-08,0,0.8,0.0
378000,268.75,0.96,11.462,13.24,3.4734e-08,4.718e-08,0,1.4,0.0
381600,269.25,0.94,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
