Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,269.95,0.98,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.0,1.8,0.0
3600,270.45,0.98,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
7200,270.75,0.98,11.33,12.6,3.3809999999999996e-08,4.27e-08,0.0,1.0,0.0
10800,270.45,0.98,11.396,12.92,3.4272e-08,4.494e-08,0.0,1.2,0.0
14400,270.45,0.98,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
18000,270.45,0.97,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.0,1.8,0.0
21600,269.54999999999995,0.97,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
25200,269.34999999999997,0.97,12.221,16.92,4.0047e-08,7.294000000000002e-08,0.0,3.7,0.0
28800,269.15,0.97,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
32400,268.54999999999995,0.97,11.264,12.280000000000001,3.3348e-08,4.046e-08,0.0,0.8,0.0
36000,268.84999999999997,0.96,11.693,14.36,3.6351e-08,5.502e-08,0.0,2.1,0.0
39600,269.54999999999995,0.97,11.924,15.48,3.796799999999999e-08,6.286e-08,0.0,2.8,0.0
43200,269.45,0.97,11.528,13.56,3.5196e-08,4.942e-08,0.0,1.6,0.0
46800,269.75,0.97,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
50400,270.04999999999995,0.97,11.66,14.2,3.612e-08,5.39e-08,0.0,2.0,0.0
54000,270.15,0.97,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
57600,269.95,0.98,11.626999999999999,14.04,3.5889e-08,5.278e-08,0.7,1.9,0.29525999999999997
61200,270.25,0.97,11.957,15.64,3.8199e-08,6.398000000000001e-08,0.6,2.9,0.38628
64800,270.34999999999997,0.96,11.891,15.32,3.7737e-08,6.174e-08,0.2,2.7,0.11988000000000001
68400,270.75,0.97,11.891,15.32,3.7737e-08,6.174e-08,0.6,2.7,0.35964
72000,271.25,0.98,11.825,15.0,3.7275e-08,5.95e-08,1.9,2.5,1.0545
75600,271.65,0.99,11.891,15.32,3.7737e-08,6.174e-08,2.8,2.7,1.67832
79200,271.84999999999997,0.98,11.891,15.32,3.7737e-08,6.174e-08,0.8,2.7,0.47952000000000006
82800,272.04999999999995,0.98,12.023,15.96,3.8661e-08,6.622000000000001e-08,0.0,3.1,0.0
86400,272.25,0.98,11.891,15.32,3.7737e-08,6.174e-08,0.0,2.7,0.0
90000,272.15,0.98,11.891,15.32,3.7737e-08,6.174e-08,0.0,2.7,0.0
93600,272.25,0.98,12.056000000000001,16.12,3.8892e-08,6.734e-08,0.0,3.2,0.0
97200,272.15,0.99,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.0,1.8,0.0
100800,272.15,0.99,11.297,12.440000000000001,3.3579e-08,4.158e-08,0.0,0.9,0.0
104400,271.84999999999997,0.99,11.66,14.2,3.612e-08,5.39e-08,0.0,2.0,0.0
108000,272.04999999999995,0.99,11.66,14.2,3.612e-08,5.39e-08,0.0,2.0,0.0
