Time [s],Temp [C],RH [%],h_t_w,h_m_w
0.0,271.12333333333333,0.856,17.006804,0.0
3600.0,270.96999999999997,0.858,12.936,4.3625121e-08
7200.0,270.81666666666666,0.86,12.824,4.2846811e-08
10800.0,270.6633333333333,0.862,12.712,4.2069178e-08
14400.0,270.51,0.8640000000000001,12.584,4.1182684e-08
18000.0,270.3566666666666,0.866,12.472,4.0406473e-08
21600.0,270.2033333333333,0.868,12.36,3.963094e-08
25200.0,270.04999999999995,0.87,12.232,3.8746766e-08
28800.0,270.25,0.86,12.12,3.7972654e-08
32400.0,270.54999999999995,0.86,11.32,3.2586758e-08
36000.0,270.54999999999995,0.86,11.099,3.1120486e-08
39600.0,270.95,0.85,11.132,3.1343792e-08
43200.0,271.04999999999995,0.85,12.44,4.0242707e-08
46800.0,271.45,0.84,12.92,4.3507601e-08
50400.0,271.25,0.85,12.44,4.0302631e-08
54000.0,270.95,0.84,12.28,3.9193718e-08
57600.0,270.95,0.85,11.32,3.2654857e-08
61200.0,270.65,0.87,11.264,3.2275466e-08
64800.0,270.75,0.87,11.165,3.1576512e-08
68400.0,270.65,0.88,11.32,3.2635405e-08
72000.0,270.45,0.88,11.099,3.1129769e-08
75600.0,270.54999999999995,0.88,11.48,3.3688583e-08
79200.0,270.54999999999995,0.88,11.32,3.2615947e-08
82800.0,270.45,0.88,11.231,3.2013702e-08
86400.0,270.45,0.88,11.165,3.1557679e-08
90000.0,270.15,0.87,11.96,3.6935674e-08
93600.0,269.65,0.87,11.264,3.2198539e-08
97200.0,269.45,0.87,12.28,3.9007038e-08
100800.0,269.15,0.87,11.363,3.2798905e-08
104400.0,269.25,0.87,11.16,3.1401513e-08
108000.0,269.34999999999997,0.87,11.48,3.35679e-08
111600.0,269.54999999999995,0.85,11.64,3.4656772e-08
115200.0,269.45,0.85,11.099,3.1027625e-08
118800.0,269.65,0.85,11.0,3.0350623e-08
122400.0,268.75,0.85,12.12,3.7927258e-08
126000.0,268.75,0.85,11.8,3.5671327e-08
129600.0,269.25,0.84,11.8,3.5671327e-08
133200.0,269.34999999999997,0.86,12.12,3.7881847e-08
136800.0,269.34999999999997,0.87,12.76,4.2208441e-08
140400.0,269.15,0.88,13.08,4.4366061e-08
144000.0,268.84999999999997,0.88,11.561,3.410366e-08
147600.0,268.84999999999997,0.88,12.92,4.3222393e-08
151200.0,268.75,0.89,12.92,4.3222393e-08
154800.0,268.65,0.89,13.08,4.4286288e-08
158400.0,268.34999999999997,0.9,12.6,4.104335e-08
162000.0,268.15,0.9,12.92,4.3157513e-08
165600.0,267.95,0.89,11.495,3.355796e-08
169200.0,267.45,0.9,13.24,4.5254158e-08
172800.0,266.75,0.9,12.76,4.1968004e-08
176400.0,266.54999999999995,0.9,12.76,4.1879339e-08
180000.0,265.75,0.92,12.76,4.1854001e-08
183600.0,265.84999999999997,0.93,11.64,3.4282486e-08
187200.0,265.95,0.93,11.066,3.0463301e-08
190800.0,265.95,0.93,11.231,3.1573723e-08
194400.0,265.65,0.93,12.6,4.0710148e-08
198000.0,265.65,0.92,12.12,3.7472581e-08
201600.0,265.54999999999995,0.91,11.231,3.1544978e-08
205200.0,265.25,0.91,12.12,3.7461199e-08
208800.0,265.04999999999995,0.9,12.6,4.0623661e-08
212400.0,264.75,0.9,11.264,3.1707106e-08
216000.0,264.65,0.9,11.561,3.3653041e-08
219600.0,265.25,0.87,11.594,3.386215e-08
223200.0,265.25,0.87,11.495,3.3264783e-08
226800.0,265.15,0.89,11.231,3.1506644e-08
230400.0,265.34999999999997,0.9,11.8,3.5285229e-08
234000.0,265.25,0.89,11.132,3.0856729e-08
237600.0,265.34999999999997,0.89,11.297,3.1946179e-08
241200.0,264.84999999999997,0.89,11.8,3.5306705e-08
244800.0,265.04999999999995,0.9,11.396,3.2565797e-08
248400.0,264.95,0.9,11.264,3.1707106e-08
252000.0,264.84999999999997,0.91,12.76,4.1651145e-08
255600.0,264.54999999999995,0.91,11.396,3.2565797e-08
259200.0,264.25,0.91,11.099,3.0562337e-08
262800.0,264.15,0.92,13.08,4.3686914e-08
266400.0,264.04999999999995,0.93,13.08,4.3673573e-08
270000.0,263.65,0.93,12.92,4.2598586e-08
273600.0,263.54999999999995,0.94,12.12,3.724476e-08
277200.0,263.45,0.94,11.64,3.4053286e-08
280800.0,263.34999999999997,0.94,11.48,3.2983159e-08
284400.0,262.84999999999997,0.94,11.48,3.2973055e-08
288000.0,263.15,0.94,11.528,3.3239857e-08
291600.0,263.04999999999995,0.94,11.64,3.4011574e-08
295200.0,262.54999999999995,0.94,12.76,4.1409955e-08
298800.0,262.45,0.94,11.462,3.2773318e-08
302400.0,262.54999999999995,0.94,11.165,3.0802205e-08
306000.0,263.15,0.94,11.32,3.183543e-08
309600.0,263.54999999999995,0.94,11.8,3.50703e-08
313200.0,263.65,0.94,11.96,3.6173336e-08
316800.0,263.95,0.94,11.96,3.618441e-08
320400.0,263.65,0.94,11.198,3.1163083e-08
324000.0,263.04999999999995,0.94,11.429,3.2665376e-08
327600.0,262.95,0.93,11.594,3.3696853e-08
331200.0,263.45,0.93,11.264,3.1504236e-08
334800.0,264.34999999999997,0.93,11.8,3.5102559e-08
338400.0,264.75,0.93,11.48,3.3074055e-08
342000.0,265.65,0.93,11.0,2.9922681e-08
345600.0,269.45,0.92,11.693,3.4625465e-08
349200.0,266.45,0.92,11.33,3.2576335e-08
352800.0,266.75,0.92,11.165,3.118048e-08
356400.0,266.45,0.92,11.099,3.0767268e-08
360000.0,266.54999999999995,0.93,11.198,3.1401047e-08
363600.0,265.75,0.93,11.264,3.185183e-08
367200.0,266.54999999999995,0.92,11.32,3.2148169e-08
370800.0,267.84999999999997,0.84,11.858,3.582328e-08
374400.0,265.65,0.9,12.089,3.7514734e-08
378000.0,264.75,0.9,11.96,3.6405748e-08
381600.0,264.25,0.9,12.12,3.7370103e-08
385200.0,265.84999999999997,0.89,11.64,3.4126252e-08
388800.0,267.75,0.84,11.96,3.6427863e-08
392400.0,268.54999999999995,0.85,12.44,3.9858719e-08
396000.0,267.95,0.83,12.44,3.9954795e-08
399600.0,267.75,0.85,12.76,4.203131e-08
403200.0,266.65,0.83,12.44,3.9858719e-08
406800.0,265.75,0.81,11.165,3.1199363e-08
