Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,274.75,0.84,12.452,18.04,4.1664e-08,8.078e-08,0,4.4,0.0
3600,274.84999999999997,0.84,12.551,18.52,4.2357e-08,8.414e-08,0,4.7,0.0
7200,274.34999999999997,0.88,12.485,18.2,4.1895e-08,8.19e-08,0.5,4.5,0.4995
10800,274.65,0.84,12.286999999999999,17.240000000000002,4.0508999999999996e-08,7.518e-08,0.3,3.9,0.25973999999999997
14400,274.04999999999995,0.91,12.485,18.2,4.1895e-08,8.19e-08,0.6,4.5,0.5993999999999999
18000,274.25,0.92,12.155000000000001,16.6,3.9585e-08,7.07e-08,1.3,3.5,1.0101
21600,275.25,0.87,12.188,16.76,3.9816000000000004e-08,7.182e-08,0.1,3.6,0.07992
25200,276.04999999999995,0.85,12.386,17.72,4.1202e-08,7.854e-08,0.1,4.2,0.09324
28800,275.95,0.87,12.353,17.56,4.0971e-08,7.741999999999999e-08,0.2,4.1,0.18203999999999998
32400,276.04999999999995,0.78,12.98,20.6,4.5360000000000004e-08,9.87e-08,0.3,6.0,0.39959999999999996
36000,275.75,0.81,13.31,22.200000000000003,4.767e-08,1.099e-07,0.5,7.0,0.777
39600,275.75,0.78,13.442,22.840000000000003,4.8594e-08,1.1438000000000002e-07,0.2,7.4,0.3285600000000001
43200,275.95,0.77,13.376000000000001,22.520000000000003,4.8132000000000004e-08,1.1214000000000002e-07,0.1,7.2,0.15984
46800,275.75,0.71,13.145,21.4,4.6514999999999997e-08,1.043e-07,0,6.5,0.0
50400,275.75,0.69,13.376000000000001,22.520000000000003,4.8132000000000004e-08,1.1214000000000002e-07,0.3,7.2,0.47952000000000006
54000,274.25,0.74,14.102,26.04,5.3214e-08,1.3677999999999998e-07,0.5,9.4,1.0434
57600,273.45,0.81,13.97,25.4,5.229e-08,1.323e-07,0.1,9.0,0.1998
61200,272.15,0.86,14.036,25.72,5.2751999999999995e-08,1.3453999999999999e-07,0.4,9.2,0.8169599999999999
64800,273.25,0.75,13.31,22.200000000000003,4.767e-08,1.099e-07,0.2,7.0,0.3108
68400,273.25,0.72,13.112,21.240000000000002,4.6284e-08,1.0318000000000001e-07,0.1,6.4,0.14208000000000004
72000,273.34999999999997,0.7,13.046,20.92,4.5822e-08,1.0094000000000002e-07,0,6.2,0.0
75600,272.54999999999995,0.76,13.244,21.880000000000003,4.7207999999999995e-08,1.0766e-07,0.2,6.8,0.30192
79200,271.84999999999997,0.85,13.277000000000001,22.04,4.7439e-08,1.0878e-07,0,6.9,0.0
82800,271.95,0.81,12.419,17.88,4.1433000000000004e-08,7.965999999999999e-08,0.6,4.3,0.5727599999999999
86400,271.75,0.78,12.353,17.56,4.0971e-08,7.741999999999999e-08,0,4.1,0.0
90000,271.65,0.91,12.188,16.76,3.9816000000000004e-08,7.182e-08,0.1,3.6,0.07992
93600,271.25,0.94,12.122,16.44,3.9353999999999996e-08,6.958e-08,0.5,3.4,0.3774
97200,271.75,0.95,11.99,15.8,3.843e-08,6.510000000000001e-08,2.1,3.0,1.3986
100800,270.75,0.93,11.759,14.68,3.6813e-08,5.726e-08,0.1,2.3,0.051059999999999994
104400,271.54999999999995,0.89,12.32,17.4,4.074e-08,7.63e-08,0.2,4.0,0.1776
108000,271.25,0.95,12.518,18.36,4.2125999999999996e-08,8.302e-08,1.2,4.6,1.2254399999999999
111600,271.95,0.87,12.749,19.48,4.3743000000000003e-08,9.086e-08,0.2,5.3,0.23532
115200,272.45,0.76,12.286999999999999,17.240000000000002,4.0508999999999996e-08,7.518e-08,0,3.9,0.0
118800,272.04999999999995,0.8,12.353,17.56,4.0971e-08,7.741999999999999e-08,0,4.1,0.0
122400,272.84999999999997,0.84,12.584,18.68,4.2588e-08,8.526e-08,0.2,4.8,0.21312
126000,272.34999999999997,0.91,12.815000000000001,19.8,4.4205000000000004e-08,9.31e-08,0.3,5.5,0.36629999999999996
129600,272.75,0.91,12.815000000000001,19.8,4.4205000000000004e-08,9.31e-08,0.3,5.5,0.36629999999999996
133200,273.34999999999997,0.91,12.947,20.44,4.5129e-08,9.758e-08,0.7,5.9,0.91686
136800,274.25,0.84,13.376000000000001,22.520000000000003,4.8132000000000004e-08,1.1214000000000002e-07,1,7.2,1.5984
140400,273.25,0.92,13.145,21.4,4.6514999999999997e-08,1.043e-07,0.6,6.5,0.8658
144000,274.25,0.87,12.749,19.48,4.3743000000000003e-08,9.086e-08,2.3,5.3,2.70618
147600,273.95,0.91,12.815000000000001,19.8,4.4205000000000004e-08,9.31e-08,0.2,5.5,0.24420000000000003
151200,274.25,0.92,12.32,17.4,4.074e-08,7.63e-08,0.3,4.0,0.26639999999999997
154800,274.04999999999995,0.91,12.551,18.52,4.2357e-08,8.414e-08,0.6,4.7,0.6260399999999999
158400,274.25,0.93,12.056000000000001,16.12,3.8892e-08,6.734e-08,0,3.2,0.0
162000,274.54999999999995,0.92,12.089,16.28,3.9123e-08,6.846e-08,0.1,3.3,0.07326
165600,274.75,0.91,11.957,15.64,3.8199e-08,6.398000000000001e-08,0.4,2.9,0.25751999999999997
169200,274.84999999999997,0.93,11.858,15.16,3.7506000000000005e-08,6.062e-08,0.7,2.6,0.40403999999999995
172800,275.54999999999995,0.89,12.122,16.44,3.9353999999999996e-08,6.958e-08,0,3.4,0.0
176400,275.25,0.94,12.089,16.28,3.9123e-08,6.846e-08,0,3.3,0.0
180000,275.15,0.95,11.924,15.48,3.796799999999999e-08,6.286e-08,0.1,2.8,0.06215999999999999
183600,275.45,0.95,12.32,17.4,4.074e-08,7.63e-08,0,4.0,0.0
187200,275.25,0.95,12.254,17.08,4.0278e-08,7.406e-08,0.2,3.8,0.16872
190800,275.34999999999997,0.96,12.023,15.96,3.8661e-08,6.622000000000001e-08,0.6,3.1,0.41291999999999995
194400,275.75,0.93,12.089,16.28,3.9123e-08,6.846e-08,0.1,3.3,0.07326
198000,275.45,0.95,12.419,17.88,4.1433000000000004e-08,7.965999999999999e-08,0.2,4.3,0.19092
201600,275.65,0.96,12.254,17.08,4.0278e-08,7.406e-08,0.8,3.8,0.67488
205200,276.54999999999995,0.95,12.353,17.56,4.0971e-08,7.741999999999999e-08,0.6,4.1,0.5461199999999999
208800,277.45,0.91,12.947,20.44,4.5129e-08,9.758e-08,0.7,5.9,0.91686
212400,276.95,0.91,13.343,22.36,4.7901e-08,1.1102e-07,0.4,7.1,0.6304799999999999
216000,276.84999999999997,0.91,12.881,20.12,4.4667e-08,9.534e-08,0.4,5.7,0.50616
219600,276.75,0.94,12.617,18.84,4.2819e-08,8.638e-08,0.7,4.9,0.76146
223200,277.04999999999995,0.93,12.617,18.84,4.2819e-08,8.638e-08,0.3,4.9,0.32634
226800,277.25,0.91,13.079,21.08,4.6053e-08,1.0206e-07,0.6,6.3,0.83916
230400,277.54999999999995,0.88,13.475,23.0,4.8824999999999995e-08,1.155e-07,0.1,7.5,0.1665
234000,277.65,0.86,13.574,23.48,4.9518e-08,1.1886e-07,0.4,7.8,0.69264
237600,277.34999999999997,0.9,13.64,23.8,4.998e-08,1.211e-07,0.5,8.0,0.888
241200,278.04999999999995,0.83,13.508,23.16,4.9056e-08,1.1662e-07,0.1,7.6,0.16872
244800,277.84999999999997,0.82,13.541,23.32,4.9287e-08,1.1774e-07,0,7.7,0.0
248400,278.25,0.8,13.31,22.200000000000003,4.767e-08,1.099e-07,0.1,7.0,0.1554
252000,277.75,0.85,13.706,24.119999999999997,5.0441999999999996e-08,1.2334e-07,0.4,8.2,0.7281599999999999
255600,278.04999999999995,0.86,13.145,21.4,4.6514999999999997e-08,1.043e-07,1.6,6.5,2.3088
