Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,265.04999999999995,0.89,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
3600,264.75,0.91,11.693,14.36,3.6351e-08,5.502e-08,0,2.1,0.0
7200,264.75,0.91,11.891,15.32,3.7737e-08,6.174e-08,0,2.7,0.0
10800,265.65,0.86,12.056000000000001,16.12,3.8892e-08,6.734e-08,0,3.2,0.0
14400,264.65,0.87,11.792,14.84,3.7044e-08,5.838e-08,0,2.4,0.0
18000,263.84999999999997,0.9,11.957,15.64,3.8199e-08,6.398000000000001e-08,0,2.9,0.0
21600,263.75,0.9,11.957,15.64,3.8199e-08,6.398000000000001e-08,0,2.9,0.0
25200,264.45,0.88,12.056000000000001,16.12,3.8892e-08,6.734e-08,0,3.2,0.0
28800,263.65,0.89,11.792,14.84,3.7044e-08,5.838e-08,0,2.4,0.0
32400,264.45,0.89,11.924,15.48,3.796799999999999e-08,6.286e-08,0,2.8,0.0
36000,264.75,0.89,11.759,14.68,3.6813e-08,5.726e-08,0,2.3,0.0
39600,265.65,0.88,11.626999999999999,14.04,3.5889e-08,5.278e-08,0,1.9,0.0
43200,265.95,0.88,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0,1.8,0.0
46800,265.95,0.88,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0,1.8,0.0
50400,266.54999999999995,0.88,11.462,13.24,3.4734e-08,4.718e-08,0,1.4,0.0
54000,266.45,0.87,11.626999999999999,14.04,3.5889e-08,5.278e-08,0,1.9,0.0
57600,267.65,0.85,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
61200,267.34999999999997,0.84,11.429,13.08,3.4503e-08,4.606e-08,0,1.3,0.0
64800,267.25,0.86,11.528,13.56,3.5196e-08,4.942e-08,0,1.6,0.0
68400,268.25,0.84,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
72000,268.65,0.83,11.528,13.56,3.5196e-08,4.942e-08,0,1.6,0.0
75600,272.25,0.77,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
79200,270.84999999999997,0.78,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
82800,270.65,0.79,11.626999999999999,14.04,3.5889e-08,5.278e-08,0,1.9,0.0
86400,270.84999999999997,0.76,11.825,15.0,3.7275e-08,5.95e-08,0,2.5,0.0
90000,270.34999999999997,0.77,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0,1.8,0.0
93600,269.75,0.76,11.396,12.92,3.4272e-08,4.494e-08,0,1.2,0.0
97200,271.34999999999997,0.74,11.759,14.68,3.6813e-08,5.726e-08,0,2.3,0.0
100800,272.75,0.69,11.858,15.16,3.7506000000000005e-08,6.062e-08,0,2.6,0.0
104400,272.34999999999997,0.71,11.825,15.0,3.7275e-08,5.95e-08,0,2.5,0.0
108000,272.25,0.71,11.792,14.84,3.7044e-08,5.838e-08,0,2.4,0.0
111600,270.54999999999995,0.74,12.056000000000001,16.12,3.8892e-08,6.734e-08,0,3.2,0.0
115200,270.25,0.76,11.626999999999999,14.04,3.5889e-08,5.278e-08,0,1.9,0.0
118800,269.75,0.76,11.462,13.24,3.4734e-08,4.718e-08,0,1.4,0.0
122400,271.45,0.7,11.66,14.2,3.612e-08,5.39e-08,0,2.0,0.0
126000,271.25,0.69,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0,2.2,0.0
129600,269.65,0.79,11.66,14.2,3.612e-08,5.39e-08,0,2.0,0.0
133200,270.54999999999995,0.68,11.626999999999999,14.04,3.5889e-08,5.278e-08,0,1.9,0.0
136800,270.84999999999997,0.68,11.858,15.16,3.7506000000000005e-08,6.062e-08,0,2.6,0.0
140400,268.45,0.75,11.858,15.16,3.7506000000000005e-08,6.062e-08,0,2.6,0.0
144000,268.15,0.79,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
147600,267.45,0.81,11.396,12.92,3.4272e-08,4.494e-08,0,1.2,0.0
151200,267.84999999999997,0.75,11.792,14.84,3.7044e-08,5.838e-08,0,2.4,0.0
154800,268.15,0.77,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
158400,266.75,0.82,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
162000,266.25,0.83,11.297,12.440000000000001,3.3579e-08,4.158e-08,0,0.9,0.0
165600,266.95,0.83,11.528,13.56,3.5196e-08,4.942e-08,0,1.6,0.0
169200,267.84999999999997,0.81,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0,2.2,0.0
172800,266.25,0.86,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0,2.2,0.0
176400,266.65,0.84,11.759,14.68,3.6813e-08,5.726e-08,0,2.3,0.0
180000,265.45,0.87,11.792,14.84,3.7044e-08,5.838e-08,0,2.4,0.0
183600,265.75,0.84,11.891,15.32,3.7737e-08,6.174e-08,0,2.7,0.0
187200,264.84999999999997,0.87,11.924,15.48,3.796799999999999e-08,6.286e-08,0,2.8,0.0
190800,264.75,0.84,12.452,18.04,4.1664e-08,8.078e-08,0,4.4,0.0
194400,264.04999999999995,0.86,11.957,15.64,3.8199e-08,6.398000000000001e-08,0,2.9,0.0
198000,264.34999999999997,0.85,11.891,15.32,3.7737e-08,6.174e-08,0,2.7,0.0
201600,263.65,0.87,11.792,14.84,3.7044e-08,5.838e-08,0,2.4,0.0
205200,263.95,0.85,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0,2.2,0.0
208800,263.65,0.84,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0,2.2,0.0
212400,263.34999999999997,0.88,11.825,15.0,3.7275e-08,5.95e-08,0,2.5,0.0
216000,263.84999999999997,0.86,11.792,14.84,3.7044e-08,5.838e-08,0,2.4,0.0
219600,263.84999999999997,0.8,11.759,14.68,3.6813e-08,5.726e-08,0,2.3,0.0
223200,263.25,0.86,11.396,12.92,3.4272e-08,4.494e-08,0,1.2,0.0
226800,263.15,0.88,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
230400,262.65,0.88,11.66,14.2,3.612e-08,5.39e-08,0,2.0,0.0
234000,263.34999999999997,0.88,11.858,15.16,3.7506000000000005e-08,6.062e-08,0,2.6,0.0
237600,262.95,0.87,11.858,15.16,3.7506000000000005e-08,6.062e-08,0,2.6,0.0
