Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,271.15,0.79,12.221,16.92,4.0047e-08,7.294000000000002e-08,0.0,3.7,0.0
3600,271.25,0.73,12.584,18.68,4.2588e-08,8.526e-08,0.0,4.8,0.0
7200,270.15,0.9,12.947,20.44,4.5129e-08,9.758e-08,0.1,5.9,0.13098
10800,270.34999999999997,0.81,12.286999999999999,17.240000000000002,4.0508999999999996e-08,7.518e-08,0.0,3.9,0.0
14400,270.25,0.8,12.286999999999999,17.240000000000002,4.0508999999999996e-08,7.518e-08,0.0,3.9,0.0
18000,269.45,0.83,11.858,15.16,3.7506000000000005e-08,6.062e-08,0.0,2.6,0.0
21600,269.15,0.86,11.858,15.16,3.7506000000000005e-08,6.062e-08,0.0,2.6,0.0
25200,268.75,0.87,11.891,15.32,3.7737e-08,6.174e-08,0.0,2.7,0.0
28800,268.04999999999995,0.88,11.792,14.84,3.7044e-08,5.838e-08,0.0,2.4,0.0
32400,268.95,0.82,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.0,1.8,0.0
36000,269.54999999999995,0.79,11.429,13.08,3.4503e-08,4.606e-08,0.0,1.3,0.0
39600,270.34999999999997,0.79,11.462,13.24,3.4734e-08,4.718e-08,0.1,1.4,0.031079999999999997
43200,270.54999999999995,0.8,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.0,1.8,0.0
46800,271.54999999999995,0.79,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.1,1.8,0.03996
50400,271.15,0.9,12.221,16.92,4.0047e-08,7.294000000000002e-08,0.2,3.7,0.16428000000000004
54000,270.95,0.94,11.626999999999999,14.04,3.5889e-08,5.278e-08,1.2,1.9,0.5061599999999999
57600,271.45,0.95,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0.8,1.8,0.31968
61200,271.75,0.96,11.626999999999999,14.04,3.5889e-08,5.278e-08,0.8,1.9,0.33744
64800,271.95,0.96,11.66,14.2,3.612e-08,5.39e-08,1.8,2.0,0.7992
68400,272.15,0.97,11.759,14.68,3.6813e-08,5.726e-08,2.2,2.3,1.1233199999999999
72000,273.45,0.94,12.221,16.92,4.0047e-08,7.294000000000002e-08,0.9,3.7,0.73926
75600,274.54999999999995,0.9,12.98,20.6,4.5360000000000004e-08,9.87e-08,0.1,6.0,0.1332
79200,275.15,0.9,13.079,21.08,4.6053e-08,1.0206e-07,0.1,6.3,0.13986
82800,275.15,0.9,13.574,23.48,4.9518e-08,1.1886e-07,0.3,7.8,0.5194799999999999
86400,275.25,0.91,13.706,24.119999999999997,5.0441999999999996e-08,1.2334e-07,3.1,8.2,5.64324
90000,275.84999999999997,0.86,13.442,22.840000000000003,4.8594e-08,1.1438000000000002e-07,1.1,7.4,1.8070800000000002
93600,275.34999999999997,0.89,13.574,23.48,4.9518e-08,1.1886e-07,0.6,7.8,1.0389599999999999
97200,275.45,0.87,12.452,18.04,4.1664e-08,8.078e-08,0.7,4.4,0.68376
100800,275.65,0.85,12.32,17.4,4.074e-08,7.63e-08,0.2,4.0,0.1776
104400,274.65,0.9,13.013,20.759999999999998,4.5591e-08,9.981999999999999e-08,0.7,6.1,0.9479399999999999
108000,274.54999999999995,0.88,13.178,21.560000000000002,4.6746e-08,1.0542e-07,0.1,6.6,0.14652
111600,274.84999999999997,0.87,12.947,20.44,4.5129e-08,9.758e-08,0.0,5.9,0.0
