Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,269.65,0.88,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
3600,269.45,0.89,11.429,13.08,3.4503e-08,4.606e-08,0,1.3,0.0
7200,269.75,0.87,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
10800,269.54999999999995,0.87,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0,2.2,0.0
14400,269.04999999999995,0.9,11.297,12.440000000000001,3.3579e-08,4.158e-08,0,0.9,0.0
18000,269.54999999999995,0.89,11.626999999999999,14.04,3.5889e-08,5.278e-08,0,1.9,0.0
21600,268.45,0.9,12.551,18.52,4.2357e-08,8.414e-08,0,4.7,0.0
25200,267.45,0.86,12.386,17.72,4.1202e-08,7.854e-08,0,4.2,0.0
28800,266.54999999999995,0.88,12.419,17.88,4.1433000000000004e-08,7.965999999999999e-08,0,4.3,0.0
32400,265.65,0.85,12.617,18.84,4.2819e-08,8.638e-08,0,4.9,0.0
36000,265.65,0.85,12.518,18.36,4.2125999999999996e-08,8.302e-08,0,4.6,0.0
39600,265.84999999999997,0.88,12.584,18.68,4.2588e-08,8.526e-08,0,4.8,0.0
43200,266.45,0.89,12.584,18.68,4.2588e-08,8.526e-08,0,4.8,0.0
46800,266.75,0.88,11.99,15.8,3.843e-08,6.510000000000001e-08,0,3,0.0
50400,266.84999999999997,0.9,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
54000,266.75,0.92,11.33,12.6,3.3809999999999996e-08,4.27e-08,0,1,0.0
57600,266.65,0.92,11.528,13.56,3.5196e-08,4.942e-08,0,1.6,0.0
61200,266.65,0.93,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
64800,266.84999999999997,0.96,11.363,12.76,3.4041e-08,4.382e-08,0.1,1.1,0.024420000000000004
68400,266.84999999999997,0.97,11.363,12.76,3.4041e-08,4.382e-08,0.1,1.1,0.024420000000000004
72000,267.15,0.94,11.429,13.08,3.4503e-08,4.606e-08,0,1.3,0.0
75600,266.95,0.89,11.693,14.36,3.6351e-08,5.502e-08,0,2.1,0.0
79200,266.95,0.88,11.495000000000001,13.4,3.4965e-08,4.83e-08,0,1.5,0.0
82800,266.65,0.91,11.363,12.76,3.4041e-08,4.382e-08,0,1.1,0.0
86400,266.65,0.9,11.462,13.24,3.4734e-08,4.718e-08,0,1.4,0.0
90000,267.25,0.88,11.594000000000001,13.88,3.5658e-08,5.166000000000001e-08,0,1.8,0.0
93600,267.45,0.85,11.891,15.32,3.7737e-08,6.174e-08,0,2.7,0.0
97200,267.25,0.85,11.924,15.48,3.796799999999999e-08,6.286e-08,0,2.8,0.0
100800,267.15,0.87,11.528,13.56,3.5196e-08,4.942e-08,0,1.6,0.0
104400,267.15,0.86,11.561,13.72,3.5427e-08,5.054e-08,0,1.7,0.0
108000,267.34999999999997,0.87,11.429,13.08,3.4503e-08,4.606e-08,0,1.3,0.0
111600,267.04999999999995,0.89,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0.1,2.2,0.04884000000000001
115200,267.34999999999997,0.88,11.528,13.56,3.5196e-08,4.942e-08,0,1.6,0.0
118800,267.15,0.89,11.462,13.24,3.4734e-08,4.718e-08,0,1.4,0.0
122400,266.95,0.92,11.297,12.440000000000001,3.3579e-08,4.158e-08,0.2,0.9,0.03996
126000,266.65,0.94,11.297,12.440000000000001,3.3579e-08,4.158e-08,0.1,0.9,0.01998
129600,266.54999999999995,0.94,11.363,12.76,3.4041e-08,4.382e-08,0.1,1.1,0.024420000000000004
133200,266.15,0.95,11.33,12.6,3.3809999999999996e-08,4.27e-08,0.3,1,0.06659999999999999
136800,265.54999999999995,0.95,11.33,12.6,3.3809999999999996e-08,4.27e-08,0,1,0.0
140400,262.95,0.94,11.297,12.440000000000001,3.3579e-08,4.158e-08,0.4,0.9,0.07992
144000,260.95,0.91,11.363,12.76,3.4041e-08,4.382e-08,0.5,1.1,0.12210000000000001
147600,258.75,0.89,11.132,11.64,3.2424e-08,3.598e-08,0.4,0.4,0.03552000000000001
151200,259.95,0.9,11.198,11.96,3.2886e-08,3.822e-08,0.2,0.6,0.02664
154800,261.34999999999997,0.91,11.231,12.120000000000001,3.3117e-08,3.934e-08,0,0.7,0.0
158400,261.84999999999997,0.91,11.198,11.96,3.2886e-08,3.822e-08,0,0.6,0.0
162000,262.84999999999997,0.92,11.264,12.280000000000001,3.3348e-08,4.046e-08,0,0.8,0.0
165600,262.54999999999995,0.91,11.363,12.76,3.4041e-08,4.382e-08,0,1.1,0.0
