Time [s],Temp [C],RH [%],h_t_w,h_m_w
0.0,269.95,0.6473333333333331,17.006804,0.0
3600.0,270.04999999999995,0.632,14.6201,5.4848684e-08
7200.0,270.15,0.616666666666667,14.63,5.4931974e-08
10800.0,270.25,0.6013333333333329,14.6399,5.5015299e-08
14400.0,270.34999999999997,0.586,14.6531,5.5120974e-08
18000.0,270.45,0.570666666666667,14.663,5.5204385e-08
21600.0,270.54999999999995,0.555333333333333,14.6729,5.5287835e-08
25200.0,270.65,0.54,14.6861,5.5393652e-08
28800.0,271.15,0.56,14.696,5.5477187e-08
32400.0,270.84999999999997,0.58,14.498,5.4217661e-08
36000.0,270.75,0.59,14.366,5.327523e-08
39600.0,270.34999999999997,0.58,13.97,5.0578105e-08
43200.0,269.65,0.69,13.409,4.6723887e-08
46800.0,270.15,0.57,13.772,4.9075982e-08
50400.0,269.34999999999997,0.64,13.508,4.7365106e-08
54000.0,269.34999999999997,0.57,13.673,4.8364402e-08
57600.0,269.75,0.54,14.069,5.1034455e-08
61200.0,270.04999999999995,0.49,15.092,5.8001515e-08
64800.0,270.75,0.5,14.96,5.7161682e-08
68400.0,271.04999999999995,0.54,14.729,5.5717166e-08
72000.0,270.95,0.49,15.521,6.1134273e-08
75600.0,271.45,0.57,15.983,6.4246066e-08
79200.0,271.75,0.55,15.125,5.8520232e-08
82800.0,271.15,0.54,14.729,5.5883184e-08
86400.0,270.75,0.58,15.95,6.4060629e-08
90000.0,270.54999999999995,0.57,15.917,6.3760915e-08
93600.0,270.25,0.64,14.894,5.680047e-08
97200.0,270.95,0.68,16.280001,6.6120016e-08
100800.0,271.34999999999997,0.7,15.29,5.9551081e-08
104400.0,271.15,0.69,20.280001,9.3468877e-08
108000.0,271.45,0.68,13.210999,4.5493213e-08
111600.0,270.54999999999995,0.81,12.65,4.1727471e-08
115200.0,271.54999999999995,0.67,22.040001,1.0515598e-07
118800.0,271.25,0.67,12.551,4.1067963e-08
122400.0,271.84999999999997,0.73,20.76,9.6695913e-08
126000.0,271.65,0.72,16.440001,6.7522642e-08
129600.0,272.54999999999995,0.64,27.960001,1.456917e-07
133200.0,272.45,0.64,20.119999,9.2713179e-08
136800.0,272.54999999999995,0.65,23.48,1.1555093e-07
140400.0,272.84999999999997,0.59,19.639999,8.9445756e-08
144000.0,272.95,0.57,13.31,4.6397766e-08
147600.0,272.75,0.63,13.376,4.6861292e-08
151200.0,272.95,0.64,19.639999,8.949872e-08
154800.0,272.45,0.73,22.52,1.0917945e-07
158400.0,271.25,0.95,19.799999,9.0508088e-08
162000.0,271.65,0.92,24.76,1.238196e-07
165600.0,271.65,0.96,21.24,1.0006969e-07
169200.0,272.45,0.95,30.52,1.630715e-07
172800.0,273.15,0.9,30.360001,1.6237016e-07
176400.0,273.65,0.88,36.439999,2.0416763e-07
180000.0,273.95,0.83,35.639999,1.9900575e-07
183600.0,274.34999999999997,0.76,36.599998,2.0574375e-07
187200.0,273.75,0.84,36.920002,2.0817605e-07
190800.0,274.95,0.7,32.919998,1.8048328e-07
194400.0,274.15,0.79,27.639999,1.4492464e-07
198000.0,273.84999999999997,0.82,28.92,1.5333862e-07
201600.0,273.84999999999997,0.83,29.24,1.5538984e-07
205200.0,274.45,0.68,31.48,1.706965e-07
208800.0,273.54999999999995,0.84,35.16,1.9618936e-07
212400.0,273.04999999999995,0.93,36.119999,2.0222416e-07
216000.0,274.25,0.71,31.0,1.6702168e-07
219600.0,273.04999999999995,0.86,29.24,1.5557299e-07
223200.0,272.75,0.91,30.360001,1.6265867e-07
226800.0,272.84999999999997,0.92,31.48,1.7014293e-07
230400.0,272.15,0.94,22.84,1.1132738e-07
234000.0,272.25,0.95,21.08,9.913046e-08
237600.0,272.04999999999995,0.93,14.63,5.5292841e-08
241200.0,271.15,0.93,15.48,6.1037554e-08
244800.0,270.75,0.94,13.4,4.6774424e-08
248400.0,271.25,0.93,13.112,4.4768733e-08
252000.0,271.54999999999995,0.94,13.574,4.7968229e-08
255600.0,272.84999999999997,0.82,13.409,4.6891188e-08
259200.0,272.75,0.79,26.68,1.3749001e-07
262800.0,271.95,0.83,28.6,1.5052677e-07
266400.0,271.54999999999995,0.88,23.16,1.1320535e-07
270000.0,271.45,0.9,23.48,1.1524278e-07
273600.0,272.04999999999995,0.9,28.439999,1.488619e-07
277200.0,271.54999999999995,0.92,13.177999,4.5390735e-08
280800.0,271.45,0.94,15.62,6.1897182e-08
284400.0,271.45,0.93,13.805,4.9564093e-08
288000.0,271.54999999999995,0.94,12.815,4.2846988e-08
291600.0,271.34999999999997,0.94,12.782,4.2635754e-08
295200.0,271.54999999999995,0.94,14.267,5.2683074e-08
298800.0,271.95,0.93,14.993,5.7641749e-08
302400.0,272.25,0.91,14.333,5.3225538e-08
306000.0,272.54999999999995,0.87,14.762,5.6190583e-08
309600.0,272.25,0.91,16.214001,6.6124507e-08
313200.0,271.54999999999995,0.95,16.214001,6.6065766e-08
316800.0,272.25,0.96,16.346001,6.6824526e-08
320400.0,272.25,0.95,16.214001,6.6065766e-08
324000.0,272.15,0.95,34.68,1.9165465e-07
327600.0,272.15,0.95,36.920002,2.0682776e-07
331200.0,272.04999999999995,0.95,15.521,6.1334426e-08
334800.0,271.75,0.94,14.96,5.7503087e-08
338400.0,271.65,0.93,16.544001,6.8208855e-08
342000.0,271.54999999999995,0.94,16.709,6.9308783e-08
345600.0,271.25,0.96,16.709,6.9288191e-08
349200.0,271.04999999999995,0.95,16.181,6.5646084e-08
352800.0,271.04999999999995,0.9,16.082001,6.493611e-08
356400.0,270.54999999999995,0.95,14.927,5.7108807e-08
360000.0,270.54999999999995,0.91,15.257,5.9256816e-08
363600.0,270.34999999999997,0.89,15.521,6.1043252e-08
367200.0,270.25,0.87,14.894,5.6766581e-08
370800.0,269.95,0.83,15.059,5.7865158e-08
374400.0,269.54999999999995,0.86,15.026,5.7590409e-08
378000.0,270.04999999999995,0.88,15.686,6.1974291e-08
381600.0,269.75,0.87,15.191,5.8722481e-08
