Time [s],Temp [C],RH [%],h_t_l,h_t_w,h_m_l,h_m_w,R,V,WDR [kg/m2.s]
0,272.95,0.66,12.32,17.4,4.074e-08,7.63e-08,0.0,4.0,0.0
3600,272.34999999999997,0.67,12.32,17.4,4.074e-08,7.63e-08,0.0,4.0,0.0
7200,271.84999999999997,0.66,12.386,17.72,4.1202e-08,7.854e-08,0.0,4.2,0.0
10800,271.15,0.68,12.254,17.08,4.0278e-08,7.406e-08,0.0,3.8,0.0
14400,270.95,0.68,11.792,14.84,3.7044e-08,5.838e-08,0.0,2.4,0.0
18000,270.45,0.68,11.725999999999999,14.52,3.6581999999999996e-08,5.614e-08,0.0,2.2,0.0
21600,268.95,0.76,11.792,14.84,3.7044e-08,5.838e-08,0.0,2.4,0.0
25200,270.34999999999997,0.7,11.66,14.2,3.612e-08,5.39e-08,0.0,2.0,0.0
28800,269.04999999999995,0.74,11.626999999999999,14.04,3.5889e-08,5.278e-08,0.0,1.9,0.0
32400,267.84999999999997,0.81,11.33,12.6,3.3809999999999996e-08,4.27e-08,0.0,1.0,0.0
36000,267.04999999999995,0.81,11.33,12.6,3.3809999999999996e-08,4.27e-08,0.0,1.0,0.0
39600,267.54999999999995,0.79,11.396,12.92,3.4272e-08,4.494e-08,0.0,1.2,0.0
43200,266.25,0.8,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
46800,265.45,0.87,11.198,11.96,3.2886e-08,3.822e-08,0.0,0.6,0.0
50400,265.34999999999997,0.87,11.33,12.6,3.3809999999999996e-08,4.27e-08,0.0,1.0,0.0
54000,265.15,0.89,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
57600,264.45,0.84,11.429,13.08,3.4503e-08,4.606e-08,0.0,1.3,0.0
61200,263.34999999999997,0.88,11.33,12.6,3.3809999999999996e-08,4.27e-08,0.0,1.0,0.0
64800,263.65,0.87,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
68400,262.95,0.91,11.462,13.24,3.4734e-08,4.718e-08,0.0,1.4,0.0
72000,262.54999999999995,0.87,11.429,13.08,3.4503e-08,4.606e-08,0.0,1.3,0.0
